3.000000000000000000e+02,5.668520820876941942e-18,5.668520820876942304e-12,3.413639923540303230e+09
3.500000000000000000e+02,7.683682943681260929e-18,7.683682943681260518e-12,4.627190705514291763e+09
4.000000000000000000e+02,9.826227069699729845e-18,9.826227069699729308e-12,5.917452203643873215e+09
4.500000000000000000e+02,1.208230640744187911e-17,1.208230640744187940e-11,7.276085741625573158e+09
5.000000000000000000e+02,1.444476012332301036e-17,1.444476012332301047e-11,8.698778993866348267e+09
5.500000000000000000e+02,1.690964250984016754e-17,1.690964250984016648e-11,1.018315581585084724e+10
6.000000000000000000e+02,1.947458568523729148e-17,1.947458568523729071e-11,1.172779024550674820e+10
6.500000000000000000e+02,2.213797905518446865e-17,2.213797905518446960e-11,1.333171236682263756e+10
7.000000000000000000e+02,2.489854358198018789e-17,2.489854358198018894e-11,1.499415193050428581e+10
7.500000000000000000e+02,2.775511133799710025e-17,2.775511133799709882e-11,1.671440559885523033e+10
8.000000000000000000e+02,3.070651678668232772e-17,3.070651678668232961e-11,1.849177147410796356e+10
8.500000000000000000e+02,3.375154971922961087e-17,3.375154971922960920e-11,2.032552075641726303e+10
9.000000000000000000e+02,3.688894163841499966e-17,3.688894163841500218e-11,2.221488954406989288e+10
9.500000000000000000e+02,4.011736935982291221e-17,4.011736935982291312e-11,2.415908100217895126e+10
1.000000000000000000e+03,4.343546652526431039e-17,4.343546652526431017e-11,2.615727229617941666e+10
